"","Description","Group","Site","count","Variable","Mean","SD"
"1","Overall",0,"*",85,"Age",9.42384562352941,2.66842792942847
"2","Overall",0,"*",85,"ASSQ_Total",2.45238095238095,3.61191055775516
"3","Overall",0,"*",85,"SRS_Total",28.746835443038,17.2139391597522
"4","Overall",1,"*",145,"Age",10.0214223793103,2.39413594042617
"5","Overall",1,"*",145,"ASSQ_Total",17.7448275862069,10.9422596376165
"6","Overall",1,"*",145,"SRS_Total",82.0909090909091,29.3516583236933
"7","By Site",0,"RU",46,"Age",9.08094713043478,2.68795925424285
"8","By Site",0,"RU",46,"ASSQ_Total",3.4,4.13081545988638
"9","By Site",0,"RU",46,"SRS_Total",31.9024390243902,19.4843589553888
"10","By Site",1,"RU",60,"Age",10.0769330666667,2.56138964716172
"11","By Site",1,"RU",60,"ASSQ_Total",18.1333333333333,11.8828557126225
"12","By Site",1,"RU",60,"SRS_Total",85.3220338983051,29.5345739407377
"13","By Site",0,"CBIC",24,"Age",9.81537991666667,2.95601325219048
"14","By Site",0,"CBIC",24,"ASSQ_Total",1.95833333333333,2.99969805243746
"15","By Site",0,"CBIC",24,"SRS_Total",27.4583333333333,14.355665952074
"16","By Site",1,"CBIC",62,"Age",10.0350267258065,2.34679507597826
"17","By Site",1,"CBIC",62,"ASSQ_Total",17.5161290322581,10.6320609101055
"18","By Site",1,"CBIC",62,"SRS_Total",78.2622950819672,30.55208756607
"19","By Site",0,"CUNY",1,"Age",9.268993,NA
"20","By Site",0,"CUNY",1,"ASSQ_Total",4,NA
"21","By Site",0,"CUNY",1,"SRS_Total",37,NA
"22","By Site",1,"CUNY",6,"Age",9.64841366666667,2.17345263532129
"23","By Site",1,"CUNY",6,"ASSQ_Total",18.5,9.81325634027768
"24","By Site",1,"CUNY",6,"SRS_Total",68.6666666666667,20.5491281242457
"25","By Site",0,"SI",14,"Age",9.89037135714286,2.14581578558812
"26","By Site",0,"SI",14,"ASSQ_Total",0.142857142857143,0.363136519601281
"27","By Site",0,"SI",14,"SRS_Total",20.5384615384615,12.2312126995881
"28","By Site",1,"SI",17,"Age",9.90753658823529,2.20062484037631
"29","By Site",1,"SI",17,"ASSQ_Total",16.9411764705882,9.70483505936148
"30","By Site",1,"SI",17,"SRS_Total",89.3529411764706,25.1717628913595
"31","ASD 1",1,"*",114,"Age",9.85246775438596,2.34149350098267
"32","ASD 1",1,"*",114,"ASSQ_Total",17.4561403508772,10.6912753702294
"33","ASD 1",1,"*",114,"SRS_Total",82.1140350877193,29.7100319078146
"34","ASD 2",1,"*",31,"Age",10.6427393870968,2.52083024204275
"35","ASD 2",1,"*",31,"ASSQ_Total",18.8064516129032,11.9454854926836
"36","ASD 2",1,"*",31,"SRS_Total",82,28.4052309065979
