"","analysis","contrast","Size.mm.2.","CWP","Annot"
"19","ClusteredASDvtHC.lh.thickness","noVars",173.58,0.0024,"fusiform"
"7","ClusteredASDvtHC.lh.thickness","noVars",2671.48,2e-04,"inferiortemporal"
"13","ClusteredASDvtHC.lh.thickness","noVars",719.47,2e-04,"lateralorbitofrontal"
"41","ClusteredASDvtHC.rh.thickness","noVars",146.12,0.0028,"supramarginal"
"24","ClusteredASDvtHC.rh.area","noVars",15147.22,2e-04,"medialorbitofrontal"
"49","ClusteredASDvtHC.rh.thickness","noVars",74.57,0.04391,"precentral"
"20","ClusteredASDvtHC.lh.thickness","noVars",165.13,0.0024,"postcentral"
"39","ClusteredASDvtHC.rh.thickness","noVars",167.32,0.0012,"lateraloccipital"
"26","ClusteredASDvtHC.rh.area","noVars",1922.35,2e-04,"precuneus"
"46","ClusteredASDvtHC.rh.thickness","noVars",85.3,0.02958,"parahippocampal"
"22","ClusteredASDvtHC.lh.thickness","noVars",121.05,0.01077,"inferiortemporal"
"16","ClusteredASDvtHC.lh.thickness","noVars",247.96,4e-04,"superiorparietal"
"6","ClusteredASDvtHC.lh.area","Vars",1808.99,2e-04,"lingual"
"45","ClusteredASDvtHC.rh.thickness","noVars",87.08,0.02859,"superiortemporal"
"9","ClusteredASDvtHC.lh.thickness","noVars",1355.91,2e-04,"bankssts"
"23","ClusteredASDvtHC.lh.thickness","noVars",80.54,0.03666,"superiorfrontal"
"44","ClusteredASDvtHC.rh.thickness","noVars",106.42,0.01594,"precentral"
"43","ClusteredASDvtHC.rh.thickness","noVars",110.61,0.01336,"postcentral"
"18","ClusteredASDvtHC.lh.thickness","noVars",174.05,0.0024,"inferiorparietal"
"30","ClusteredASDvtHC.rh.thickness","noVars",833.72,2e-04,"lingual"
"42","ClusteredASDvtHC.rh.thickness","noVars",134.72,0.00519,"parsorbitalis"
"11","ClusteredASDvtHC.lh.thickness","noVars",977.26,2e-04,"superiorfrontal"
"15","ClusteredASDvtHC.lh.thickness","noVars",247.97,4e-04,"rostralmiddlefrontal"
"40","ClusteredASDvtHC.rh.thickness","noVars",149.23,0.0022,"middletemporal"
"48","ClusteredASDvtHC.rh.thickness","noVars",78.38,0.0394,"superiorfrontal"
"38","ClusteredASDvtHC.rh.thickness","noVars",182.55,8e-04,"precuneus"
"35","ClusteredASDvtHC.rh.thickness","noVars",373.95,2e-04,"fusiform"
"17","ClusteredASDvtHC.lh.thickness","noVars",242.21,4e-04,"superiortemporal"
"37","ClusteredASDvtHC.rh.thickness","noVars",188.07,6e-04,"lateralorbitofrontal"
"12","ClusteredASDvtHC.lh.thickness","noVars",942.75,2e-04,"supramarginal"
"31","ClusteredASDvtHC.rh.thickness","noVars",802.88,2e-04,"inferiortemporal"
"10","ClusteredASDvtHC.lh.thickness","noVars",988.77,2e-04,"precentral"
"32","ClusteredASDvtHC.rh.thickness","noVars",728.1,2e-04,"inferiorparietal"
"28","ClusteredASDvtHC.rh.area","Vars",149.59,0.02623,"postcentral"
"27","ClusteredASDvtHC.rh.area","noVars",841.71,2e-04,"precuneus"
"8","ClusteredASDvtHC.lh.thickness","noVars",1637.79,2e-04,"lingual"
"2","ClusteredASDvtHC.lh.area","noVars",318.9,0.001,"middletemporal"
"3","ClusteredASDvtHC.lh.area","noVars",270.53,0.0028,"superiorparietal"
"34","ClusteredASDvtHC.rh.thickness","noVars",422.02,2e-04,"precentral"
"47","ClusteredASDvtHC.rh.thickness","noVars",84.8,0.02997,"postcentral"
"36","ClusteredASDvtHC.rh.thickness","noVars",343.03,2e-04,"pericalcarine"
"1","ClusteredASDvtHC.lh.area","noVars",26694.16,2e-04,"medialorbitofrontal"
"29","ClusteredASDvtHC.rh.thickness","noVars",1881.81,2e-04,"temporalpole"
"5","ClusteredASDvtHC.lh.area","noVars",144.14,0.03056,"superiorparietal"
"25","ClusteredASDvtHC.rh.area","noVars",8483.55,2e-04,"inferiortemporal"
"14","ClusteredASDvtHC.lh.thickness","noVars",371.26,2e-04,"precentral"
"21","ClusteredASDvtHC.lh.thickness","noVars",158.55,0.0028,"precuneus"
"4","ClusteredASDvtHC.lh.area","noVars",154.62,0.02603,"superiorfrontal"
"33","ClusteredASDvtHC.rh.thickness","noVars",551.67,2e-04,"superiortemporal"
