"","contrast","Max","VtxMax","Size.mm.2.","MNIX","MNIY","MNIZ","CWP","CWPLow","CWPHi","NVtxs","WghtVtx","Annot","analysis"
"1","noVars",14.208,30112,26694.16,-8.4,26.6,-20.9,2e-04,0,4e-04,44733,293809.22,"medialorbitofrontal","ClusteredASDvtHC.lh.area"
"2","noVars",5.204,45148,318.9,-57.9,-39.5,-8.2,0.001,4e-04,0.0016,722,3256.19,"middletemporal","ClusteredASDvtHC.lh.area"
"3","noVars",4.743,42648,270.53,-23.6,-73.4,26.8,0.0028,0.0018,0.0038,468,2019.57,"superiorparietal","ClusteredASDvtHC.lh.area"
"4","noVars",4.738,4708,154.62,-21.2,13.8,51.2,0.02603,0.02326,0.02899,257,1098.77,"superiorfrontal","ClusteredASDvtHC.lh.area"
"5","noVars",5.512,24841,144.14,-22.6,-43.6,56,0.03056,0.02741,0.03371,342,1599.4,"superiorparietal","ClusteredASDvtHC.lh.area"
"6","Vars",7.527,128227,1808.99,-15.4,-77.1,-8.9,2e-04,0,4e-04,2190,11717.12,"lingual","ClusteredASDvtHC.lh.area"
"7","noVars",13.622,161550,2671.48,-44.1,-11.7,-37.7,2e-04,0,4e-04,4355,27721.76,"inferiortemporal","ClusteredASDvtHC.lh.thickness"
"8","noVars",8.951,48242,1637.79,-6.9,-83.2,1.2,2e-04,0,4e-04,2354,13696.65,"lingual","ClusteredASDvtHC.lh.thickness"
"9","noVars",8.618,126008,1355.91,-55.6,-47.5,0.2,2e-04,0,4e-04,2792,16227.58,"bankssts","ClusteredASDvtHC.lh.thickness"
"10","noVars",7.465,58094,988.77,-47.2,-9.9,41.6,2e-04,0,4e-04,2061,10057.81,"precentral","ClusteredASDvtHC.lh.thickness"
"11","noVars",6.387,109566,977.26,-21.8,21.5,55.8,2e-04,0,4e-04,1626,8119.79,"superiorfrontal","ClusteredASDvtHC.lh.thickness"
"12","noVars",8.26,63614,942.75,-47.8,-51.4,43.8,2e-04,0,4e-04,2211,11621.13,"supramarginal","ClusteredASDvtHC.lh.thickness"
"13","noVars",8.604,160280,719.47,-30.3,20.6,-21.8,2e-04,0,4e-04,1415,7790.79,"lateralorbitofrontal","ClusteredASDvtHC.lh.thickness"
"14","noVars",6.123,15920,371.26,-27.6,-22.7,61.3,2e-04,0,4e-04,829,4134.89,"precentral","ClusteredASDvtHC.lh.thickness"
"15","noVars",5.349,108204,247.97,-35.5,25.9,37,4e-04,0,8e-04,384,1746.05,"rostralmiddlefrontal","ClusteredASDvtHC.lh.thickness"
"16","noVars",7.334,133199,247.96,-34.5,-52.8,61.2,4e-04,0,8e-04,529,2901.81,"superiorparietal","ClusteredASDvtHC.lh.thickness"
"17","noVars",5.942,85678,242.21,-61.4,-48.3,16.9,4e-04,0,8e-04,510,2440.43,"superiortemporal","ClusteredASDvtHC.lh.thickness"
"18","noVars",5.622,117776,174.05,-35.7,-82.8,23.6,0.0024,0.0016,0.0034,286,1362.41,"inferiorparietal","ClusteredASDvtHC.lh.thickness"
"19","noVars",5.973,163098,173.58,-36,-30.2,-22.2,0.0024,0.0016,0.0034,374,1818.63,"fusiform","ClusteredASDvtHC.lh.thickness"
"20","noVars",6.298,150627,165.13,-63.6,-11.8,20.5,0.0024,0.0016,0.0034,437,2133.21,"postcentral","ClusteredASDvtHC.lh.thickness"
"21","noVars",5.463,6949,158.55,-5.8,-64.4,22,0.0028,0.0018,0.0038,310,1406.88,"precuneus","ClusteredASDvtHC.lh.thickness"
"22","noVars",5.75,137112,121.05,-54.7,-44.1,-22,0.01077,0.00898,0.01256,157,755.67,"inferiortemporal","ClusteredASDvtHC.lh.thickness"
"23","noVars",5.94,124506,80.54,-14.6,42,13.4,0.03666,0.03332,0.03999,150,740.53,"superiorfrontal","ClusteredASDvtHC.lh.thickness"
"24","noVars",15.251,154808,15147.22,12,48.6,-1.4,2e-04,0,4e-04,26641,183271.55,"medialorbitofrontal","ClusteredASDvtHC.rh.area"
"25","noVars",9.879,22833,8483.55,47.9,-28.8,-23,2e-04,0,4e-04,13745,83531.59,"inferiortemporal","ClusteredASDvtHC.rh.area"
"26","noVars",7.035,146957,1922.35,9.7,-65.9,31.2,2e-04,0,4e-04,2879,14223.76,"precuneus","ClusteredASDvtHC.rh.area"
"27","noVars",7.123,49931,841.71,13.5,-44.6,45.4,2e-04,0,4e-04,2344,11576.65,"precuneus","ClusteredASDvtHC.rh.area"
"28","Vars",5.714,50716,149.59,56.3,-10.4,23.2,0.02623,0.02326,0.02918,303,1436.36,"postcentral","ClusteredASDvtHC.rh.area"
"29","noVars",9.029,28257,1881.81,35.6,2.3,-26.7,2e-04,0,4e-04,3335,17809.18,"temporalpole","ClusteredASDvtHC.rh.thickness"
"30","noVars",7.447,114236,833.72,4.5,-76.9,2.3,2e-04,0,4e-04,1003,5466.11,"lingual","ClusteredASDvtHC.rh.thickness"
"31","noVars",11.66,62536,802.88,45.1,-12,-36.5,2e-04,0,4e-04,1333,9686.93,"inferiortemporal","ClusteredASDvtHC.rh.thickness"
"32","noVars",6.931,57433,728.1,45.5,-57.4,25.6,2e-04,0,4e-04,1546,7694.76,"inferiorparietal","ClusteredASDvtHC.rh.thickness"
"33","noVars",5.982,1729,551.67,62.3,-34.7,15.2,2e-04,0,4e-04,1248,5713.23,"superiortemporal","ClusteredASDvtHC.rh.thickness"
"34","noVars",7.707,41778,422.02,27.6,-20.4,67.3,2e-04,0,4e-04,930,5019.32,"precentral","ClusteredASDvtHC.rh.thickness"
"35","noVars",8.165,90201,373.95,36.5,-31.3,-22.1,2e-04,0,4e-04,721,3895.55,"fusiform","ClusteredASDvtHC.rh.thickness"
"36","noVars",5.45,31244,343.03,5.9,-75.7,13,2e-04,0,4e-04,406,1915.01,"pericalcarine","ClusteredASDvtHC.rh.thickness"
"37","noVars",6.317,83831,188.07,32.2,22.8,-18.3,6e-04,2e-04,0.001,470,2313.13,"lateralorbitofrontal","ClusteredASDvtHC.rh.thickness"
