"","Measure","Count.Total","Mean.Total","SD.Total","Count.ASD1","Mean.ASD1","SD.ASD1","Count.ASD2","Mean.ASD2","SD.ASD2","t.Value","p","Significance"
"1","SNR",161,23.7713952342363,6.01375274231213,55,24.5152569431109,5.28561834097475,106,23.3854292532164,6.34828245569191,1.19885858484037,0.232794910017365,""
"2","FWHM",161,3.51808830219702,0.324517175176502,55,3.43971966925891,0.246474407284331,106,3.55875127211774,0.352626666088422,-2.49415009741675,0.0137460809288258,"*"
"3","EFC",161,0.538419192033602,0.0347908919393066,55,0.531705273587309,0.0306978143723572,106,0.541902828963283,0.0363857856580647,-1.8736010630899,0.0632877088637658,""
"4","FBER",161,1067.51724295573,684.11787501772,55,1116.09616086429,601.430107539113,106,1042.31120064469,724.751777890765,0.687092248279556,0.493262665219133,""
"5","Qi1",161,0.381178543799001,0.153288644441402,55,0.390190784269567,0.153475735049423,106,0.376502381290689,0.153710956948846,0.536422468959256,0.592754015202112,""
"6","CNR",161,10.7011282490839,3.04420937013446,55,11.0767707974569,2.27080298348614,106,10.506219379645,3.37005359524082,1.2729329054541,0.205033436742581,""
"7","CIS_P_Score",193,11.9481865284974,8.3645712013045,68,7.25,6.28044822052903,125,14.504,8.26635622032406,-6.83391334957604,1.39733461728691e-10,"***"
"8","CIS_SR_Total",175,11.1371428571429,9.54683210725276,57,7.6140350877193,6.27282798483414,118,12.8389830508475,10.3799365468995,-4.12630312580188,5.84400967447612e-05,"***"
"9","DTS_Total",207,30.6376811594203,12.0250196469485,75,27.7733333333333,9.30209702212404,132,32.2651515151515,13.0821595484136,-2.86956673425658,0.00456412873699852,"**"
"10","RBS_Total",173,38.2658959537572,35.5785871703139,55,11.5454545454545,17.9090481805708,118,50.7203389830508,34.9397248002167,-9.73994748326034,4.42828043162426e-18,"***"
"11","SCQ_Total",229,9.45851528384279,5.81470304230234,84,5.54761904761905,3.64180797779107,145,11.7241379310345,5.6390044908219,-10.056900684618,7.03913615786672e-20,"***"
"12","PSI_Total",194,79,24.919143857082,66,62.2878787878788,18.0791125986402,128,87.6171875,23.5880395068261,-8.30617427969504,3.48903888464459e-14,"***"
"13","SCARED_P_Total",213,13.7887323943662,11.3127689080405,73,8.36986301369863,7.39839856792421,140,16.6142857142857,11.9739439625588,-6.19003358939834,3.22612400970044e-09,"***"
"14","SCARED_SR_Total",163,19.9754601226994,14.6628576368014,56,15.9821428571429,12.1916380753793,107,22.0654205607477,15.4475808865333,-2.75253518800552,0.00671926075495859,"**"
"15","ASSQ_Total",229,12.1353711790393,11.6157038842102,84,2.45238095238095,3.61191055775516,145,17.7448275862069,10.9422596376165,-15.4394077991168,1.82473455370586e-35,"***"
"16","SRS_Total",222,63.1081081081081,36.2403618271648,79,28.746835443038,17.2139391597522,143,82.0909090909091,29.3516583236933,-17.061482424496,4.27852857959893e-42,"***"
"17","SRS_AWR",222,8.90990990990991,3.94199928499331,79,5.9620253164557,2.86196560558578,143,10.5384615384615,3.48996394260648,-10.5308333701776,1.07387514473119e-20,"***"
"18","SRS_COG",222,11.6036036036036,7.61491662994894,79,5.22784810126582,3.87612470721231,143,15.1258741258741,6.84729527445643,-13.7518769050726,1.83835651528017e-31,"***"
"19","SRS_COM",222,20.9234234234234,12.9841006494522,79,8.69620253164557,6.29479726233019,143,27.6783216783217,10.5587567280563,-16.7700740361633,3.90297919130402e-41,"***"
"20","SRS_DSMRRB",222,11.8468468468468,8.82581384420933,79,3.40506329113924,3.40255932084076,143,16.5104895104895,7.30219640203571,-18.1839056052377,2.27005323398865e-45,"***"
"21","SRS_MOT",222,9.82432432432432,6.36952183173321,79,5.45569620253165,4.11313551976588,143,12.2377622377622,6.11274130196601,-9.83581453509855,4.86493263757545e-19,"***"
"22","SRS_SCI",222,51.2612612612613,28.2399901656475,79,25.3417721518987,14.7499553028,143,65.5804195804196,23.268612900248,-15.7343743657808,1.14295795964185e-37,"***"
"23","SRS_RRB",222,11.8468468468468,8.82581384420933,79,3.40506329113924,3.40255932084076,143,16.5104895104895,7.30219640203571,-18.1839056052377,2.27005323398865e-45,"***"
