Area_Right;Area_Left;Volume_Right;Volume_Left;Thickness_Right;Thickness_Left;isParcell
rh_WhiteSurfArea_area;lh_WhiteSurfArea_area;;;;lh_MeanThickness_thickness;0
rh_bankssts_area;lh_bankssts_area;;;rh_bankssts_thickness;lh_bankssts_thickness;1
rh_caudalanteriorcingulate_area;lh_caudalanteriorcingulate_area;rh_caudalanteriorcingulate_volume;lh_caudalanteriorcingulate_volume;rh_caudalanteriorcingulate_thickness;lh_caudalanteriorcingulate_thickness;1
rh_caudalmiddlefrontal_area;lh_caudalmiddlefrontal_area;rh_caudalmiddlefrontal_volume;lh_caudalmiddlefrontal_volume;rh_caudalmiddlefrontal_thickness;lh_caudalmiddlefrontal_thickness;1
rh_cuneus_area;lh_cuneus_area;rh_cuneus_volume;lh_cuneus_volume;rh_cuneus_thickness;lh_cuneus_thickness;1
rh_entorhinal_area;lh_entorhinal_area;rh_entorhinal_volume;lh_entorhinal_volume;rh_entorhinal_thickness;lh_entorhinal_thickness;1
rh_frontalpole_area;lh_frontalpole_area;rh_frontalpole_volume;lh_frontalpole_volume;rh_frontalpole_thickness;lh_frontalpole_thickness;1
rh_fusiform_area;lh_fusiform_area;rh_fusiform_volume;lh_fusiform_volume;rh_fusiform_thickness;lh_fusiform_thickness;1
rh_inferiorparietal_area;lh_inferiorparietal_area;rh_inferiorparietal_volume;lh_inferiorparietal_volume;rh_inferiorparietal_thickness;lh_inferiorparietal_thickness;1
rh_inferiortemporal_area;lh_inferiortemporal_area;rh_inferiortemporal_volume;lh_inferiortemporal_volume;rh_inferiortemporal_thickness;lh_inferiortemporal_thickness;1
rh_insula_area;lh_insula_area;rh_insula_volume;lh_insula_volume;rh_insula_thickness;lh_insula_thickness;1
rh_isthmuscingulate_area;lh_isthmuscingulate_area;rh_isthmuscingulate_volume;lh_isthmuscingulate_volume;rh_isthmuscingulate_thickness;lh_isthmuscingulate_thickness;1
rh_lateraloccipital_area;lh_lateraloccipital_area;rh_lateraloccipital_volume;lh_lateraloccipital_volume;rh_lateraloccipital_thickness;lh_lateraloccipital_thickness;1
