"","contrast","Max","VtxMax","Size.mm.2.","MNIX","MNIY","MNIZ","CWP","CWPLow","CWPHi","NVtxs","WghtVtx","Annot","analysis"
"1","ASD1vsASD2",16.197,114649,15633.66,-20.8,-77.2,-6.7,2e-04,0,4e-04,26919,223424.12,"lingual","ASDComparison.lh.area"
"2","ASD1vsASD2",17.578,20317,8715.41,-21.3,45.4,-13.2,2e-04,0,4e-04,13851,119684.19,"lateralorbitofrontal","ASDComparison.lh.area"
"3","ASD1vsASD2",11.096,120751,4272.21,-34.2,13.4,-38,2e-04,0,4e-04,7119,44684.86,"temporalpole","ASDComparison.lh.area"
"4","ASD1vsASD2",6.877,36742,513.41,-28.4,-49.4,43.2,2e-04,0,4e-04,1347,7231.49,"superiorparietal","ASDComparison.lh.area"
"5","ASD1vsASD2",5.873,30690,249.25,-19.6,11.7,52.2,0.00459,0.0034,0.00579,386,1848.15,"superiorfrontal","ASDComparison.lh.area"
"6","ASD1vsASD2",5.142,81489,240.96,-26,-43.1,53.7,0.00559,0.0042,0.00699,533,2423.42,"superiorparietal","ASDComparison.lh.area"
"7","ASD1vsASD2",5.5,108128,223.68,-34.8,12.9,30.9,0.00818,0.00659,0.00978,402,1868.16,"caudalmiddlefrontal","ASDComparison.lh.area"
"8","ASD1vsASD2",5.183,26930,215.78,-11.9,23.1,56.2,0.00978,0.00798,0.01157,343,1555.31,"superiorfrontal","ASDComparison.lh.area"
"9","ASD1vsASD2",5.062,72139,172.15,-41.5,-28.9,41.8,0.0201,0.01752,0.02267,480,2147.84,"postcentral","ASDComparison.lh.area"
"10","ASD1vsASD2",5.348,77904,162.69,-49.5,-21.6,21.6,0.02346,0.02069,0.02623,381,1767.88,"supramarginal","ASDComparison.lh.area"
"11","ASD1vsASD2",4.893,31097,146.46,-37,-6.4,0.2,0.03037,0.02721,0.03351,318,1390.72,"insula","ASDComparison.lh.area"
"12","ASD1vsASD2",4.866,133149,129.67,-21.6,-58.1,63.4,0.03784,0.0345,0.04136,333,1453.84,"superiorparietal","ASDComparison.lh.area"
"13","ASD1vsASD2",5.668,157187,129.56,-50.1,-41.6,-2.5,0.03784,0.0345,0.04136,324,1528.23,"bankssts","ASDComparison.lh.area"
"14","ASD2vsHC",-13.767,142442,15636.72,-11,-73.6,18.6,2e-04,0,4e-04,26549,-201734.17,"cuneus","ASDComparison.lh.area"
"15","ASD2vsHC",-14.636,124827,7028.93,-16.9,46.9,-14.5,2e-04,0,4e-04,11009,-85817.58,"lateralorbitofrontal","ASDComparison.lh.area"
"16","ASD2vsHC",-8.302,57726,2440.9,-34.9,11.9,-38.2,2e-04,0,4e-04,3807,-20850.13,"temporalpole","ASDComparison.lh.area"
"17","ASD2vsHC",-6.023,100374,766.48,-10.5,19.6,58.9,2e-04,0,4e-04,1355,-6347.71,"superiorfrontal","ASDComparison.lh.area"
"18","ASD2vsHC",-6.386,131870,559.66,-37.1,-53.8,34.1,2e-04,0,4e-04,1477,-7434.57,"inferiorparietal","ASDComparison.lh.area"
