"","Measure","Count.Total","Mean.Total","SD.Total","Count.ASD1","Mean.ASD1","SD.ASD1","Count.ASD2","Mean.ASD2","SD.ASD2","CohenD","t.Value","df","p","p.adj","Significance"
"1","CIS_P_Score",193,11.9481865284974,8.3645712013045,68,7.25,6.28044822052903,125,14.504,8.26635622032406,-0.950867502454281,-6.83391334957604,170.817340242292,1.39733461728691e-10,1.71985518522866e-09,"***"
"2","CIS_SR_Total",175,11.1371428571429,9.54683210725276,57,7.6140350877193,6.27282798483414,118,12.8389830508475,10.3799365468995,-0.56472311475369,-4.12630312580188,164.426913785894,5.84400967447612e-05,0.000719287292881151,"***"
"3","DTS_Total",207,30.6376811594203,12.0250196469485,75,27.7733333333333,9.30209702212404,132,32.2651515151515,13.0821595484136,-0.378817920039313,-2.86956673425658,194.803577226827,0.00456412873699852,0.0561758105558068,""
"4","RBS_Total",173,38.2658959537572,35.5785871703139,55,11.5454545454545,17.9090481805708,118,50.7203389830508,34.9397248002167,-1.28008968849528,-9.73994748326034,169.433874755454,4.42828043162426e-18,5.45037743125763e-17,"***"
"5","SCQ_Total",229,9.45851528384279,5.81470304230234,84,5.54761904761905,3.64180797779107,145,11.7241379310345,5.6390044908219,-1.23478440166554,-10.056900684618,224.288086447697,7.03913615786672e-20,8.66384806535703e-19,"***"
"6","PSI_Total",194,79,24.919143857082,66,62.2878787878788,18.0791125986402,128,87.6171875,23.5880395068261,-1.15770479289959,-8.30617427969504,164.370168347499,3.48903888464459e-14,4.29434835649557e-13,"***"
"7","SCARED_P_Total",213,13.7887323943662,11.3127689080405,73,8.36986301369863,7.39839856792421,140,16.6142857142857,11.9739439625588,-0.775128284223753,-6.19003358939834,204.950879394425,3.22612400970044e-09,3.97074976718674e-08,"***"
"8","SCARED_SR_Total",163,19.9754601226994,14.6628576368014,56,15.9821428571429,12.1916380753793,107,22.0654205607477,15.4475808865333,-0.42191582149236,-2.75253518800552,136.319367939359,0.00671926075495859,0.0827014181667996,""
"9","ASSQ_Total",229,12.1353711790393,11.6157038842102,84,2.45238095238095,3.61191055775516,145,17.7448275862069,10.9422596376165,-1.70206208703082,-15.4394077991168,191.508250009016,1.82473455370586e-35,2.24590384080676e-34,"***"
"10","SRS_Total",222,63.1081081081081,36.2403618271648,79,28.746835443038,17.2139391597522,143,82.0909090909091,29.3516583236933,-2.07463888791821,-17.061482424496,219.185743629192,4.27852857959893e-42,5.26606116511986e-41,"***"
"11","SRS_AWR",222,8.90990990990991,3.94199928499331,79,5.9620253164557,2.86196560558578,143,10.5384615384615,3.48996394260648,-1.39479049397116,-10.5308333701776,188.803315301407,1.07387514473119e-20,1.32173762326171e-19,"***"
"12","SRS_COG",222,11.6036036036036,7.61491662994894,79,5.22784810126582,3.87612470721231,143,15.1258741258741,6.84729527445643,-1.65916366732864,-13.7518769050726,219.84835865545,1.83835651528017e-31,2.26266990453748e-30,"***"
"13","SRS_COM",222,20.9234234234234,12.9841006494522,79,8.69620253164557,6.29479726233019,143,27.6783216783217,10.5587567280563,-2.04679114860609,-16.7700740361633,218.695857032881,3.90297919130402e-41,4.80383074816897e-40,"***"
"14","SRS_MOT",222,9.82432432432432,6.36952183173321,79,5.45569620253165,4.11313551976588,143,12.2377622377622,6.11274130196601,-1.23584403047308,-9.83581453509855,211.504873862744,4.86493263757545e-19,5.98781388438493e-18,"***"
"15","SRS_RRB",222,11.8468468468468,8.82581384420933,79,3.40506329113924,3.40255932084076,143,16.5104895104895,7.30219640203571,-2.11153591405995,-18.1839056052377,215.0721898952,2.27005323398865e-45,2.79400708815248e-44,"***"
